Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 67.0.3396.99,,2018-07-18 08:45:00,2018-07-18 08:45:00,0.127s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Allowance Rate Parameters,Chrome 67.0.3396.99,,2018-07-18 08:45:00,2018-07-18 08:45:10,10.822s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:00,2018-07-18 08:45:03,3.001s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:45:03,2018-07-18 08:45:03,0.066s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:03,2018-07-18 08:45:05,2.001s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:45:05,2018-07-18 08:45:05,0.061s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:05,2018-07-18 08:45:07,2.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:45:07,2018-07-18 08:45:10,3.337s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:45:10,2018-07-18 08:45:10,0.112s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Company Pay Rates,Chrome 67.0.3396.99,,2018-07-18 08:45:10,2018-07-18 08:45:22,11.081s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:11,2018-07-18 08:45:13,2.001s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:45:13,2018-07-18 08:45:13,0.065s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:13,2018-07-18 08:45:16,3.002s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:45:16,2018-07-18 08:45:16,0.062s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:16,2018-07-18 08:45:18,2.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:45:18,2018-07-18 08:45:21,3.696s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:45:21,2018-07-18 08:45:22,0.088s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Minimum Rates,Chrome 67.0.3396.99,,2018-07-18 08:45:22,2018-07-18 08:45:32,10.484s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:22,2018-07-18 08:45:24,2.003s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:45:24,2018-07-18 08:45:24,0.077s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:24,2018-07-18 08:45:27,3.003s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:45:27,2018-07-18 08:45:27,0.062s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:27,2018-07-18 08:45:29,2.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:45:29,2018-07-18 08:45:32,3.066s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:45:32,2018-07-18 08:45:32,0.103s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Salary Change Reason,Chrome 67.0.3396.99,,2018-07-18 08:45:32,2018-07-18 08:45:43,11.423s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:32,2018-07-18 08:45:35,3.002s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:45:35,2018-07-18 08:45:35,0.055s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:35,2018-07-18 08:45:37,2.003s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:45:37,2018-07-18 08:45:37,0.093s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:37,2018-07-18 08:45:40,3.002s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:45:40,2018-07-18 08:45:40,0.061s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:40,2018-07-18 08:45:42,2.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:45:42,2018-07-18 08:45:43,0.865s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:45:43,2018-07-18 08:45:43,0.133s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Currencies,Chrome 67.0.3396.99,,2018-07-18 08:45:43,2018-07-18 08:45:58,14.355s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:44,2018-07-18 08:45:47,3.002s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:45:47,2018-07-18 08:45:47,0.071s,PASSED
